,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 2 solar,solar,62.593542,DE0 2,,,2028.0
DE0 4 onwind,onwind,518.53,DE0 4,,,2028.0
DE0 4 solar,solar,0.486003,DE0 4,,,2028.0
DE0 7 onwind,onwind,37.55,DE0 7,,,2028.0
DE0 7 solar,solar,10.059771,DE0 7,,,2028.0
DE0 8 onwind,onwind,143.22,DE0 8,,,2028.0
DE0 8 solar,solar,0.627144,DE0 8,,,2028.0
DE0 9 onwind,onwind,457.215,DE0 9,,,2028.0
DE0 9 solar,solar,5.209956,DE0 9,,,2028.0
DE0 A onwind,onwind,326.15,DE0 A,,,2028.0
DE0 A solar,solar,9.844015,DE0 A,,,2028.0
DE0 B onwind,onwind,97.25,DE0 B,,,2028.0
DE0 B solar,solar,1.70029,DE0 B,,,2028.0
DE0 C onwind,onwind,32.05,DE0 C,,,2028.0
DE0 C solar,solar,0.95547,DE0 C,,,2028.0
DE0 D onwind,onwind,160.15,DE0 D,,,2028.0
DE0 D solar,solar,0.687717,DE0 D,,,2028.0
