NUTS0_code,process,month,daytype,hour,load
IE,iron_and_steel,3,2,19,113.2826101
IE,iron_and_steel,3,2,20,113.2826101
IE,iron_and_steel,3,2,21,113.2826101
IE,iron_and_steel,3,2,22,113.2826101
IE,iron_and_steel,3,2,23,111.1515678
IE,iron_and_steel,3,2,24,111.1515678
IE,iron_and_steel,4,0,1,112.1580554
IE,iron_and_steel,4,0,2,112.1580554
IE,iron_and_steel,4,0,3,112.1580554
IE,iron_and_steel,4,0,4,112.1580554
IE,iron_and_steel,4,0,5,112.1580554
IE,iron_and_steel,4,0,6,112.1580554
IE,iron_and_steel,4,0,7,114.4299165
IE,iron_and_steel,4,0,8,114.5514385
IE,iron_and_steel,4,0,9,114.7134678
IE,iron_and_steel,4,0,10,114.7134678
IE,iron_and_steel,4,0,11,114.7134678
IE,iron_and_steel,4,0,12,114.7134678
IE,iron_and_steel,4,0,13,114.7134678
IE,iron_and_steel,4,0,14,114.7134678
IE,iron_and_steel,4,0,15,114.5514385
IE,iron_and_steel,4,0,16,114.4299165
IE,iron_and_steel,4,0,17,114.3083944
IE,iron_and_steel,4,0,18,114.3083944
IE,iron_and_steel,4,0,19,114.3083944
IE,iron_and_steel,4,0,20,114.3083944
IE,iron_and_steel,4,0,21,114.3083944
IE,iron_and_steel,4,0,22,114.3083944
IE,iron_and_steel,4,0,23,112.1580554
IE,iron_and_steel,4,0,24,112.1580554
IE,iron_and_steel,4,1,1,112.1580559
IE,iron_and_steel,4,1,2,112.1580559
IE,iron_and_steel,4,1,3,112.1580559
IE,iron_and_steel,4,1,4,112.1580559
IE,iron_and_steel,4,1,5,112.1580559
IE,iron_and_steel,4,1,6,112.1580559
IE,iron_and_steel,4,1,7,114.429917
IE,iron_and_steel,4,1,8,114.551439
IE,iron_and_steel,4,1,9,114.7134683
IE,iron_and_steel,4,1,10,114.7134683
IE,iron_and_steel,4,1,11,114.7134683
IE,iron_and_steel,4,1,12,114.7134683
IE,iron_and_steel,4,1,13,114.7134683
IE,iron_and_steel,4,1,14,114.7134683
IE,iron_and_steel,4,1,15,114.551439
IE,iron_and_steel,4,1,16,114.429917
IE,iron_and_steel,4,1,17,114.3083949
IE,iron_and_steel,4,1,18,114.3083949
IE,iron_and_steel,4,1,19,114.3083949
IE,iron_and_steel,4,1,20,114.3083949
IE,iron_and_steel,4,1,21,114.3083949
IE,iron_and_steel,4,1,22,114.3083949
IE,iron_and_steel,4,1,23,112.1580559
IE,iron_and_steel,4,1,24,112.1580559
IE,iron_and_steel,4,2,1,111.2901159
IE,iron_and_steel,4,2,2,111.2901159
IE,iron_and_steel,4,2,3,111.2901159
IE,iron_and_steel,4,2,4,111.2901159
IE,iron_and_steel,4,2,5,111.2901159
IE,iron_and_steel,4,2,6,111.2901159
IE,iron_and_steel,4,2,7,113.5443961
IE,iron_and_steel,4,2,8,113.6649777
IE,iron_and_steel,4,2,9,113.8257532
IE,iron_and_steel,4,2,10,113.8257532
IE,iron_and_steel,4,2,11,113.8257532
IE,iron_and_steel,4,2,12,113.8257532
IE,iron_and_steel,4,2,13,113.8257532
IE,iron_and_steel,4,2,14,113.8257532
IE,iron_and_steel,4,2,15,113.6649777
IE,iron_and_steel,4,2,16,113.5443961
IE,iron_and_steel,4,2,17,113.4238145
IE,iron_and_steel,4,2,18,113.4238145
IE,iron_and_steel,4,2,19,113.4238145
IE,iron_and_steel,4,2,20,113.4238145
IE,iron_and_steel,4,2,21,113.4238145
IE,iron_and_steel,4,2,22,113.4238145
IE,iron_and_steel,4,2,23,111.2901159
IE,iron_and_steel,4,2,24,111.2901159
IE,iron_and_steel,5,0,1,112.6361932
IE,iron_and_steel,5,0,2,112.6361932
IE,iron_and_steel,5,0,3,112.6361932
IE,iron_and_steel,5,0,4,112.6361932
IE,iron_and_steel,5,0,5,112.6361932
IE,iron_and_steel,5,0,6,112.6361932
IE,iron_and_steel,5,0,7,114.9177394
IE,iron_and_steel,5,0,8,115.0397794
IE,iron_and_steel,5,0,9,115.2024995
IE,iron_and_steel,5,0,10,115.2024995
IE,iron_and_steel,5,0,11,115.2024995
IE,iron_and_steel,5,0,12,115.2024995
IE,iron_and_steel,5,0,13,115.2024995
IE,iron_and_steel,5,0,14,115.2024995
IE,iron_and_steel,5,0,15,115.0397794
IE,iron_and_steel,5,0,16,114.9177394
IE,iron_and_steel,5,0,17,114.7956993
IE,iron_and_steel,5,0,18,114.7956993
IE,iron_and_steel,5,0,19,114.7956993
IE,iron_and_steel,5,0,20,114.7956993
IE,iron_and_steel,5,0,21,114.7956993
IE,iron_and_steel,5,0,22,114.7956993
IE,iron_and_steel,5,0,23,112.6361932
IE,iron_and_steel,5,0,24,112.6361932
IE,iron_and_steel,5,1,1,112.6361937
IE,iron_and_steel,5,1,2,112.6361937
IE,iron_and_steel,5,1,3,112.6361937
IE,iron_and_steel,5,1,4,112.6361937
IE,iron_and_steel,5,1,5,112.6361937
IE,iron_and_steel,5,1,6,112.6361937
IE,iron_and_steel,5,1,7,114.9177399
IE,iron_and_steel,5,1,8,115.0397799
IE,iron_and_steel,5,1,9,115.2025
IE,iron_and_steel,5,1,10,115.2025
IE,iron_and_steel,5,1,11,115.2025
IE,iron_and_steel,5,1,12,115.2025
IE,iron_and_steel,5,1,13,115.2025
IE,iron_and_steel,5,1,14,115.2025
IE,iron_and_steel,5,1,15,115.0397799
IE,iron_and_steel,5,1,16,114.9177399
IE,iron_and_steel,5,1,17,114.7956998
IE,iron_and_steel,5,1,18,114.7956998
IE,iron_and_steel,5,1,19,114.7956998
IE,iron_and_steel,5,1,20,114.7956998
IE,iron_and_steel,5,1,21,114.7956998
IE,iron_and_steel,5,1,22,114.7956998
IE,iron_and_steel,5,1,23,112.6361937
IE,iron_and_steel,5,1,24,112.6361937
IE,iron_and_steel,5,2,1,111.7645536
IE,iron_and_steel,5,2,2,111.7645536
IE,iron_and_steel,5,2,3,111.7645536
IE,iron_and_steel,5,2,4,111.7645536
IE,iron_and_steel,5,2,5,111.7645536
IE,iron_and_steel,5,2,6,111.7645536
IE,iron_and_steel,5,2,7,114.028444
IE,iron_and_steel,5,2,8,114.1495396
IE,iron_and_steel,5,2,9,114.3110005
IE,iron_and_steel,5,2,10,114.3110005
