country;NUTS0_ID;type_of_building;heating_equipment;year;datetime;price_index_households_appliances;labour_cost_index_construction_sector;equipment_and_maintenance_index;specific_investment_costs;equipment_cost_ share;installation_cost_share;fixed_O_and_M;variable_O_and_M;technical_lifetime;total_annual_net_efficiency;k1_specific_investment_costs;k2_specific_investment_costs;InCost_CAGR;k1_fixed_O_and_M;k2_fixed_O_and_M;;;;;
Hungary;HU;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.76;0.15;0.57;101;0.7;0.3;2;0.025;20;0.88;1858;-0.51;;33;-0.56;;;;;
Ireland;IE;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.87;0.69;0.83;143;0.7;0.3;3;0.025;20;0.88;2628;-0.51;;49;-0.56;;;;;
Italy;IT;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.94;0.6;0.87;147;0.7;0.3;3;0.025;20;0.88;2699;-0.51;;51;-0.56;;;;;
Latvia;LV;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.76;0.19;0.68;103;0.7;0.3;2;0.025;20;0.88;1897;-0.51;;40;-0.56;;;;;
Lithuania;LT;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.81;0.18;0.66;109;0.7;0.3;2;0.025;20;0.88;2000;-0.51;;39;-0.56;;;;;
Luxembourg;LU;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.98;0.64;0.92;154;0.7;0.3;3;0.025;20;0.88;2827;-0.51;;54;-0.56;;;;;
Malta;MT;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;1.16;0.24;0.85;155;0.7;0.3;3;0.025;20;0.88;2847;-0.51;;50;-0.56;;;;;
Netherlands;NL;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.87;0.86;0.88;151;0.7;0.3;3;0.025;20;0.88;2792;-0.51;;51;-0.56;;;;;
Poland;PL;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.66;0.19;0.52;91;0.7;0.3;2;0.025;20;0.88;1671;-0.51;;30;-0.56;;;;;
Portugal;PT;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;1;0.3;0.77;139;0.7;0.3;3;0.025;20;0.88;2544;-0.51;;45;-0.56;;;;;
