snapshot,DE0 1,DE0 2,DE0 4,DE0 7,DE0 8,DE0 9,DE0 A,DE0 B,DE0 C,DE0 D,DE0 E,DE0 F,DE0 G
2013-11-05 13:00:00,10666.463795580414,15360.569058292813,3683.72130752674,6591.575612055483,1066.3249755882096,8695.24956095811,12577.219713508244,3714.169152286612,833.0596687543995,2565.6145632676,2081.760925736796,3036.4020556841488,2490.507010760437
2013-11-05 14:00:00,10613.259290296113,15283.950275039602,3665.34684214362,6558.6967192748425,1061.0061282283214,8651.877506256533,12514.484324767094,3695.642812528961,828.9043527661012,2552.8172335991294,2071.377066353154,3021.256429887918,2478.0843188586005
2013-11-05 15:00:00,10574.274606741237,15227.809183161666,3651.8832695641313,6534.6052776978795,1057.108834566931,8620.09738127218,12468.51605075163,3682.0679566211224,825.8596166481972,2543.440211017924,2063.768472494674,3010.1587338234294,2468.981805638997
2013-11-05 16:00:00,10996.23582376413,15835.467404125862,3797.609871733933,6795.365480954163,1099.2922416514361,8964.078119160204,12966.066039087522,3828.9990638524723,858.8151376546944,2644.9349391935934,2146.122136333909,3130.2776346458527,2567.5053078422247
2013-11-05 17:00:00,11050.2391946209,15913.236618302519,3816.260229689096,6828.738050263945,1104.690951496998,9008.101405202498,13029.743399602927,3847.8035765756886,863.0328457067485,2657.924420749147,2156.661909351681,3145.6506719922427,2580.114526445602
2013-11-05 18:00:00,10828.47389361136,15593.87667988492,3739.672376370979,6691.693310999906,1082.521103671396,8827.31940723257,12768.251777910556,3770.5826853935077,845.7127917750252,2604.583004437094,2113.3802419524814,3082.5211635844244,2528.3346631757804
2013-11-05 19:00:00,10149.757019886427,14616.469583242431,3505.2738111637896,6272.2653095483365,1014.6698675282686,8274.032703093855,11967.951752738116,3534.246695899964,792.7044410376806,2441.330596803586,1980.9158850262204,2889.312116040494,2369.8614179908354
2013-11-05 20:00:00,9559.075219484428,13765.840099991285,3301.2786375233304,5907.240515517901,955.6194860274155,7792.5117638169095,11271.457119952247,3328.5653975882174,746.57170253947,2299.2533481097485,1865.633227606969,2721.1638461575562,2231.9434356845236
2013-11-05 21:00:00,9068.731051300218,13059.704908228336,3131.9356111015763,5604.221565427253,906.5998443552152,7392.785575753649,10693.274279164318,3157.8226642534783,708.2754163333101,2181.310404411012,1769.933345335606,2581.5785000858637,2117.453234250167
2013-11-05 22:00:00,8325.785327390831,11989.803081589032,2875.355263017063,5145.1019350928655,832.3276585498977,6787.139824411437,9817.239654765977,2899.1215480774836,650.250739127834,2002.6089710672736,1624.9335208746973,2370.085547353495,1943.98322868211
2013-11-05 23:00:00,7765.140901592624,11182.429842935326,2681.733660127952,4798.639396528067,776.2801094173872,6330.105207250372,9156.16319497999,2703.899563396493,606.4639444979235,1867.7566403221329,1515.51322177403,2210.48796003436,1813.078657143346
2013-11-06 00:00:00,7456.938258405096,10738.59315297328,2575.2942003871917,4608.17880290118,745.4691319208587,6078.859907100111,8792.75012444956,2596.580326963644,582.393062454578,1793.6243688445768,1455.3616821360815,2122.7524970658687,1741.1165843979736
2013-11-06 01:00:00,7371.140008685088,10615.036746167596,2545.663308022184,4555.1578897616455,736.8918922384715,6008.917589992356,8691.582253030909,2566.7045200854286,575.6921479939605,1772.9872351887414,1438.616540804638,2098.328471745324,1721.0835962836568
2013-11-06 02:00:00,7514.616410895253,10821.654349397806,2595.2136641737566,4643.822284245021,751.2352092005212,6125.878857309712,8860.76055512655,2616.6644353284605,586.8977739999099,1807.4977490807175,1466.6186578708557,2139.171627542995,1754.5838258284434
2013-11-06 03:00:00,7774.4077567727,11195.774862585207,2684.9340189849104,4804.366053251052,777.206515704705,6337.659502655133,9167.090084705276,2707.1263748598017,607.1876935730301,1869.9856057094757,1517.321822767579,2213.12593815511,1815.242370276019
2013-11-06 04:00:00,8339.685602891263,12009.820600594923,2880.155798791876,5153.691915684883,833.7172672541252,6798.471261592371,9833.629980781958,2903.9617627410703,651.3363621727256,2005.9524173997042,1627.646420946206,2374.0425124651724,1947.2287966837252
2013-11-06 05:00:00,9588.473501630238,13808.17599984996,3311.431494217043,5925.407829760222,958.5584284072186,7816.477100860213,11306.12171553272,3338.8021728465205,748.8677327567651,2306.3245445487773,1871.3708550182478,2729.532599481231,2238.8076250908375
2013-11-06 06:00:00,10401.399922385262,14978.85568007278,3592.1800567188466,6427.773568972183,1039.8265752250782,8479.17077691152,12264.673153075515,3621.871266119788,812.3579604249527,2501.858500686919,2030.0287280171774,2960.9468247020836,2428.617386687896
2013-11-06 07:00:00,10753.700003330876,15486.196240760706,3713.848806521426,6645.485142947475,1075.04596774481,8766.364094479159,12680.08313412056,3744.545670502845,839.8728889297778,2586.5975703201866,2098.786711609675,3061.2354217949814,2510.875746937529
2013-11-06 08:00:00,10778.624623731459,15522.0897065102,3722.4566597904436,6660.88785964167,1077.5376787513394,8786.682524162014,12709.47267062129,3753.2246720912303,841.8195224545024,2592.592712694377,2103.65121983219,3068.330666298866,2516.6953834204196
2013-11-06 09:00:00,10991.44263032928,15828.564818585166,3795.9545163016705,6792.403421779303,1098.8130667373919,8960.170731115892,12960.41420844198,3827.3300260590822,858.4407852721583,2643.782027871089,2145.1866545291236,3128.9131653448935,2566.386147632975
2013-11-06 10:00:00,11182.85101050604,16104.208340035948,3862.058441839622,6910.688434966049,1117.9481372003816,9116.205914433653,13186.110868424765,3893.980334424281,873.3899385100792,2689.821665479612,2182.5435981560877,3183.401026568844,2611.077989454632
